mol_id,smiles
123,O[C@H]([C@@](NC1=O)([H])C(N2[C@H](C(N[C@@H](C(N[C@H](C(N[C@@]([C@H]3O)([H])C(N[C@H](CC(N)=O)C(O[C@H](C)[C@H](NC(/C=C/C4=C([C@H](O)[C@H](C)O)C=CC=C4)=O)C(N[C@](C5=CC=C(OC6=C(O)C=CC3=C6)C=C5)([H])C(N[C@@H](C(C)C)C(NC1)=O)=O)=O)=O)=O)=O)O)=O)CC(C)C)=O)CCC2)=O)C7=CC=CC=C7
124,O=C(N1[C@H](C(N[C@H]2C)=O)C[C@H](O)C1)[C@@H](NC([C@@H]([C@@H](O)C(O)=O)NC([C@@H](NC3=O)C(C)C)=O)=O)CSC4=C(C[C@@H](C(N[C@H]3C[C@](CO)(O)C)=O)NC2=O)C5=C(C=CC=C5)N4
125,O=C(N1[C@H](C(N[C@H]2C)=O)C[C@H](O)C1)[C@@H](NC([C@@H]([C@@H](O)C(O)=O)NC([C@@H](NC3=O)C(C)C)=O)=O)CSC4=C(C[C@@H](C(N[C@H]3CC(CO)(O)CO)=O)NC2=O)C5=C(C=CC=C5)N4
126,O=C(N1[C@H](C(N[C@H]2C)=O)C[C@H](O)C1)[C@@H](NC([C@@H]([C@@H](O)C)NC([C@@H](NC3=O)C)=O)=O)CSC4=C(C[C@@H](C(N[C@H]3CC(C)(O)C)=O)NC2=O)C5=C(C=CC=C5)N4
127,C[C@H]1C(N[C@@H](CC2=C(S(=O)(C)=O)NC3=CC=CC=C32)C(N[C@@H](C[C@](O)(CO)C)C(N[C@@H](C(C)C)C(N[C@H]([C@@H](O)C)C(N[C@H](CO)C(N4[C@@H]([C@@H](O)[C@H](O)C4)C(N1)=O)=O)=O)=O)=O)=O)=O
128,O=C(N[C@]([H])(C(N[C@H](C(NC1)=O)CC2=C3NC4=C2C=CC(O)=C4)=O)[C@@H](C)C(O)C)[C@H]5N(C([C@@H](NC([C@H](CS3=O)NC(CNC([C@](NC1=O)([H])[C@@H](C)CC)=O)=O)=O)CC(N)=O)=O)C[C@H](O)C5
129,COC1=CC(=C(C=C1C(C=C)C2=CC=CC=C2O)O)OC
130,COC1=C(C=C2C(=CC(=O)OC2=C1)C3=CC(=C(C=C3)O)O)O
131,O=C(C1=CC=C(O)C=C1)C=2C=C(O)C(OC)=CC2O
132,CCc1oc(=O)c(Cc2c(O)c(C/C=C(/C)CCC=C(C)C)c(O)c(C(=O)C(C)C)c2O)c(O)c1C
133,CCC(C)C(=O)C1=C(O)C(C)=C2OC(C(C)(O)CCC=C(C)C)CC2(CC=C(C)C)C1=O
134,CC(C)=CCC/C(C)=C\CC1(C)C(=O)C(CC=C(C)C)=C(O)C2=C1OC(C)CC2=O
135,CCc1oc(=O)c(Cc2c(O)c(CC=C(C)C)c(O)c(C(C)=O)c2O)c(O)c1C
136,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCC/C=C\C/C=C\CCCCC
137,COC1=CC(=O)C(=CC1=O)C(C=C)C2=CC=C(C=C2)O
138,CC1CC=CC2C(C(=C)C(C3C2(C(C=CC(C1)(C)O)OC(=O)C)C(=O)NC3CC4=CC=CC=C4)C)O
139,CCCCCC(C1C(CC(CC(CC(CC(CC(C(C(C(=CC=CC=CC=CC=CC(C(OC1=O)C)O)C)O)O)O)O)O)O)O)O)O
140,CCCCCC(C1C(CC(CC(CC(CC(CC(CC(C(=CC=CC=CC=CC=CC(C(OC1=O)C)O)C)O)O)O)O)O)O)O)O
141,CC1=CC(=O)[C@]2([C@@H](O2)C(=O)CC(C)C)C(=O)N1
142,C1=CC(=C(C=C1CCC(=O)O)OS(=O)(=O)O)O
143,COC1=C(C=CC(=C1)C(=O)O)OS(=O)(=O)O
144,C1=CC(=C(C=C1CCC(=O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O)O
145,COC1=C(C=CC(=C1)CCC(=O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O
146,COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O
147,COC1=C(C=CC(C1)/C=C/C(=O)O)O
148,COC1=C(OS(O)(=O)=O)C=CC(CCC(O)=O)=C1
149,CC/C=C/C/C=C/C/C=C/C/C=C/C/C=C/CCCC(=O)O
